desmos:ConstraintDeclaration,desmos:isDeclaredIn,prov:wasAttributedTo,desmos:revealsConstraint
declaration_01,ling_obj_01,author_01,literary_constraint_01
declaration_01,,,literary_constraint_02
declaration_02,ling_obj_02,author_02,literary_constraint_03
declaration_03,ling_obj_03,author_03,literary_constraint_06
declaration_04,ling_obj_04,author_03,literary_constraint_04
declaration_04,,,literary_constraint_05
declaration_04,,,literary_constraint_07
declaration_05,ling_obj_05,author_01,literary_constraint_04
declaration_05,,,literary_constraint_08
declaration_05,,,literary_constraint_09
declaration_06,ling_obj_06,author_04,literary_constraint_10
declaration_06,,,literary_constraint_11
declaration_07,ling_obj_07,author_05,literary_constraint_12
declaration_08,ling_obj_08,author_06,literary_constraint_13
declaration_09,ling_obj_09,author_07,literary_constraint_14
declaration_09,,,literary_constraint_15
declaration_09,,,literary_constraint_16
declaration_09,,,literary_constraint_17
declaration_09,,,literary_constraint_18
declaration_09,,,literary_constraint_19
declaration_09,,,literary_constraint_20
declaration_10,ling_obj_10,author_08,literary_constraint_10
declaration_11,ling_obj_11,author_09,literary_constraint_21
