lrmoo:F2,dct:title,lrmoo:R15,lrmoo:R76,rdfs:seeAlso,skos:exactMatch
e_plaquette_01,Edulcoranti,ling_obj_01,,https://www.oplepo.com/copia-di-n1,
e_plaquette_02,L'uso delle istruzioni,ling_obj_02,expression_01,https://www.oplepo.com/copia-di-p1,
e_plaquette_03,Canto tenero,ling_obj_03,expression_02,https://www.oplepo.com/copia-di-p1-1,
e_plaquette_04,Deliri edipici,ling_obj_04,,https://www.oplepo.com/copia-di-p2,
e_plaquette_04,,ling_obj_05,,,
e_plaquette_05,Frammenti in vita,ling_obj_06,expression_03,https://www.oplepo.com/copia-di-p4,
e_plaquette_05,,,expression_04,,
e_plaquette_07,Forme For Me,ling_obj_07,,https://www.oplepo.com/copia-di-p1-2,
e_plaquette_12,Geometriche visioni,ling_obj_08,,https://www.oplepo.com/copia-di-p11,
e_plaquette_16,Giallo di Anghiari,ling_obj_09,,https://www.oplepo.com/copia-di-p22,
e_plaquette_18,Il centunesimo canto,ling_obj_10,expression_05,https://www.oplepo.com/copia-di-p23,
e_plaquette_23,Riflessi in uno zaffiro orientale,ling_obj_11,,https://www.oplepo.com/copia-di-p28,
expression_01,La vita istruzioni per l'uso,,,,http://id.sbn.it/bid/CFI0009550
expression_02,Enciclopedia dei miti,,,,http://id.sbn.it/bid/LO10042847
expression_03,Commedia,,,https://www.wikidata.org/wiki/Q40185,
expression_04,Canzoniere,,,,http://id.sbn.it/bid/CFI0606317
expression_05,Inferno,,,,http://id.sbn.it/bid/UBO2333486
