lrmoo:F28,lrmoo:R17,desmos:usedConstraint,crm:P14,dct:created
expr_creat_01,e_plaquette_01,literary_constraint_01,author_01,1990
expr_creat_01,,literary_constraint_02,,
expr_creat_02,e_plaquette_02,literary_constraint_03,author_02,1991
expr_creat_03,e_plaquette_03,literary_constraint_04,author_03,1992
expr_creat_03,,literary_constraint_05,,
expr_creat_03,,literary_constraint_06,,
expr_creat_03,,literary_constraint_07,,
expr_creat_04,e_plaquette_04,literary_constraint_04,author_01,1992
expr_creat_04,,literary_constraint_07,,
expr_creat_04,,literary_constraint_08,,
expr_creat_04,,literary_constraint_09,,
expr_creat_05,e_plaquette_05,literary_constraint_10,author_04,1993
expr_creat_05,,literary_constraint_11,,
expr_creat_07,e_plaquette_07,literary_constraint_12,author_05,1994
expr_creat_12,e_plaquette_12,literary_constraint_13,author_06,1996
expr_creat_16,e_plaquette_16,literary_constraint_14,author_07,1999
expr_creat_16,,literary_constraint_15,,
expr_creat_16,,literary_constraint_16,,
expr_creat_16,,literary_constraint_17,,
expr_creat_16,,literary_constraint_18,,
expr_creat_16,,literary_constraint_19,,
expr_creat_16,,literary_constraint_20,,
expr_creat_18,e_plaquette_18,literary_constraint_10,author_08,2001
expr_creat_23,e_plaquette_23,literary_constraint_21,author_09,2005
