lrmoo:F1,dct:title,lrmoo:R3
w_plaquette_01,Edulcoranti,e_plaquette_01
w_plaquette_02,L'uso delle istruzioni,e_plaquette_02
w_plaquette_03,Canto tenero,e_plaquette_03
w_plaquette_04,Deliri edipici,e_plaquette_04
w_plaquette_05,Frammenti in vita,e_plaquette_05
w_plaquette_07,Forme For Me,e_plaquette_06
w_plaquette_12,Geometriche visioni,e_plaquette_07
w_plaquette_16,Giallo di Anghiari,e_plaquette_08
w_plaquette_18,Il centunesimo canto,e_plaquette_09
w_plaquette_23,Riflessi in uno zaffiro orientale,e_plaquette_10
